user_id,cluster_label
8044,2
8045,1
8046,2
8047,2
4136,0
4137,2
4138,0
4139,2
4140,1
4141,6
4142,2
4143,7
4144,5
4145,2
4146,0
4147,3
4148,5
4149,2
4150,9
4151,7
4152,0
4153,2
4154,7
4155,1
4156,2
4157,0
4158,6
4159,0
4160,10
4161,4
4162,0
4163,3
4164,2
4165,2
4166,8
4167,6
4168,9
4169,0
4170,2
4171,7
4172,10
4173,1
4174,9
4175,8
4176,10
4177,5
4178,7
4179,2
4180,0
4181,6
8048,6
8049,3
8050,7
8051,8
8052,3
8053,8
8054,0
8055,9
8056,6
8057,3
8058,2
8059,0
8060,1
8061,3
8062,1
8063,2
8064,5
8065,7
8066,7
8067,6
8068,2
8069,1
8070,2
8071,8
8072,4
8073,4
8074,10
8075,2
8076,2
8077,6
8078,2
8079,2
8080,2
8081,2
8082,2
8083,4
8084,2
8085,2
8086,7
8087,2
8088,8
8089,2
8090,6
8091,8
8092,10
8093,2
8094,3
6048,7
6049,2
6050,3
6051,2
6052,7
6053,2
6054,2
6055,7
6056,1
6057,4
6058,4
6059,1
6060,2
6061,0
6062,2
6063,2
6064,2
6065,6
6066,3
6067,2
6068,1
6069,6
6070,9
6071,2
6072,2
6073,7
6074,7
6075,2
6076,2
6077,2
6078,8
6079,2
6080,5
6081,6
6082,2
6083,4
6084,7
6085,0
6086,2
6087,2
6088,1
6089,2
6090,9
6091,3
6092,0
6093,3
6094,9
12000,2
12001,2
12002,2
12003,8
12004,2
12005,1
12006,0
12007,2
12008,0
12009,2
12010,0
12011,2
12012,8
12013,8
12014,2
12015,1
12016,2
12017,2
12018,2
12019,2
12020,2
12021,0
12022,5
12023,2
12024,1
12025,0
12026,1
12027,2
12028,2
12029,2
12030,9
12031,3
12032,1
12033,2
12034,3
12035,0
12036,3
12037,4
12038,2
12039,5
12040,4
12041,2
12042,6
12043,2
12044,2
12045,0
12046,2
12047,2
4182,7
4183,2
4184,5
4185,3
4186,9
4187,2
4188,2
4189,3
4190,3
4191,2
4192,1
4193,10
4194,9
4195,2
4196,7
4197,4
4198,2
4199,8
4200,2
4201,6
4202,6
4203,7
4204,2
4205,2
4206,2
4207,3
4208,5
4209,2
4210,2
4211,10
4212,8
4213,10
4214,2
4215,9
4216,9
4217,6
4218,2
4219,3
4220,4
4221,8
4222,8
4223,1
4224,1
4225,10
4226,8
4227,2
4228,3
4229,2
10048,2
10049,4
10050,2
10051,2
10052,7
10053,2
10054,5
10055,2
10056,3
10057,10
10058,2
10059,4
10060,2
10061,10
10062,9
10063,4
10064,10
10065,10
10066,1
10067,10
10068,2
10069,5
10070,8
